Number,Type,Common Name,Category,Classification,RA,Dec,R_Flux,Tag,Comments,ID
41,Source,3C 120,AGN,Seyfert 1 Galaxy,68.296,5.354,1.06E-09,Known Source,,21590
42,Source,Ark 564,AGN,Seyfert 1 Galaxy,340.664,29.725,7.06E-11,Known Source,,24045
43,Source,ESO 141-55,AGN,Seyfert 1 Galaxy,290.309,-58.67,3.96E-11,Known Source,,23171
44,Source,ESO 383-35,AGN,Seyfert 1 Galaxy,203.974,-34.296,8.27E-11,Known Source,,22383
45,Source,ICRF J024457.6+622806,AGN,Seyfert 1 Galaxy,41.24,62.468,4.55E-11,Known Source,,25644
46,Source,IRAS 05078+1626,AGN,Seyfert 1 Galaxy,77.69,16.499,2.13E-11,Known Source,,21622
47,Source,LEDA 90334,AGN,Seyfert 1 Galaxy,294.388,-6.218,7.05E-11,Known Source,,23873
48,Source,MCG +08-11-011,AGN,Seyfert 1 Galaxy,88.723,46.439,1.1E-10,Known Source,,21548
49,Source,MCG+04-22-042,AGN,Seyfert 1 Galaxy,140.929,22.909,2.89E-11,Known Source,,22280
50,Source,Mrk 1044,AGN,Seyfert 1 Galaxy,37.523,-8.998,2.5E-11,Known Source,,21598
51,Source,Mrk 110,AGN,Seyfert 1 Galaxy,141.304,52.286,5.54E-11,Known Source,,21915
52,Source,Mrk 509,AGN,Seyfert 1 Galaxy,311.041,-10.724,8.91E-11,Known Source,,24102
53,Source,Mrk 704,AGN,Seyfert 1 Galaxy,139.608,16.305,1.43E-11,Known Source,,22297
54,Source,Mrk 79,AGN,Seyfert 1 Galaxy,115.637,49.81,2.71E-11,Known Source,,21914
55,Source,NGC 4151,AGN,Seyfert 1 Galaxy,182.636,39.406,1.61E-10,Known Source,,22276
56,Source,NGC 4253,AGN,Seyfert 1 Galaxy,184.61,29.813,3.55E-11,Known Source,,22286
57,Source,NGC 5548,AGN,Seyfert 1 Galaxy,214.498,25.137,6.6E-11,Known Source,,22430
58,Source,NGC 6814,AGN,Seyfert 1 Galaxy,295.669,-10.324,4.9E-11,Known Source,,23872
59,Source,NGC 931,AGN,Seyfert 1 Galaxy,37.06,31.312,3.78E-11,Known Source,,21962
60,Source,3C 84,AGN,Seyfert 2 Galaxy,49.951,41.512,8.46E-09,Known Source,,21544
61,Source,Cyg A,AGN,Seyfert 2 Galaxy,299.868,40.734,4.63E-10,Known Source,,24146
62,Source,ACO 1650,Cluster of Galaxies,Cluster of Galaxies,194.653,-1.726,1.29E-11,Known Source,,22312
63,Source,ACO 1651,Cluster of Galaxies,Cluster of Galaxies,194.843,-4.196,1.25E-11,Known Source,,22308
64,Source,ACO 1656,Cluster of Galaxies,Cluster of Galaxies,194.953,27.981,8.74E-10,Known Source,,22285
65,Source,ACO 1795,Cluster of Galaxies,Cluster of Galaxies,207.252,26.585,5.45E-11,Known Source,,23018
66,Source,ACO 2029,Cluster of Galaxies,Cluster of Galaxies,227.745,5.762,1.35E-11,Known Source,,22913
67,Source,ACO 2052,Cluster of Galaxies,Cluster of Galaxies,229.19,7,8.98E-10,Known Source,,23133
68,Source,ACO 2199,Cluster of Galaxies,Cluster of Galaxies,247.154,39.524,2.08E-11,Known Source,,22959
69,Source,ACO 2319,Cluster of Galaxies,Cluster of Galaxies,290.189,43.962,4.52E-10,Known Source,,816
70,Source,ACO 2811,Cluster of Galaxies,Cluster of Galaxies,10.537,-28.536,9.22E-12,Known Source,,21762
71,Source,ACO 3158,Cluster of Galaxies,Cluster of Galaxies,55.665,-53.631,2.04E-11,Known Source,,21739
72,Source,ACO 3266,Cluster of Galaxies,Cluster of Galaxies,67.8,-61.406,1.66E-10,Known Source,,20825
73,Source,ACO 3571,Cluster of Galaxies,Cluster of Galaxies,206.87,-32.866,1.01E-10,Known Source,,22386
74,Source,ACO 401,Cluster of Galaxies,Cluster of Galaxies,44.737,13.582,4.64E-11,Known Source,,21988
75,Source,ACO 576,Cluster of Galaxies,Cluster of galaxies,110.35,55.739,9.92E-12,Known Source,,21913
76,Source,ACO 644,Cluster of Galaxies,Cluster of Galaxies,124.352,-7.513,3.45E-11,Known Source,,22365
77,Source,ACO 85,Cluster of Galaxies,Cluster of Galaxies,10.401,-9.325,1.74E-10,Known Source,,21596
78,Source,ACO 990,Cluster of Galaxies,Cluster of Galaxies,155.921,49.135,6.77E-12,Known Source,,22065
79,Source,ACO S 540,Cluster of Galaxies,Cluster of Galaxies,85.026,-40.841,1.01E-11,Known Source,,21642
80,Source,AWM 7,Cluster of Galaxies,Cluster of Galaxies,43.634,41.586,2.48E-10,Known Source,,25404
81,Source,Oph Cluster,Cluster of Galaxies,Cluster of Galaxies,258.103,-23.35,4.39E-10,Known Source,,22888
82,Source,RXC J0433.6-1315,Cluster of Galaxies,Cluster of Galaxies,68.377,-13.239,8.87E-11,Known Source,,21617
83,Source,ZwCl 1215+0400,Cluster of Galaxies,Cluster of Galaxies,184.419,3.663,1.24E-11,Known Source,,22302
84,Source,2MASS J19551247+0045365,CV,CV,298.802,0.76,1.24E-11,Known Source,,24047
85,Source,AM Her,CV,CV,274.055,49.868,1.55E-12,Known Source,,23180
86,Source,DO Dra,CV,CV,175.91,71.689,5.17E-11,Known Source,,22260
87,Source,EF Eri,CV,CV,48.555,-22.595,5.17E-11,Known Source,,22085
88,Source,EX Hya,CV,CV,193.101,-29.249,1.6E-10,Known Source,,22375
89,Source,SS Cyg,CV,CV,325.678,43.586,7.47E-11,Known Source,,366
90,Source,V1223 Sgr,CV,CV,283.76,-31.164,1.51E-10,Known Source,,19147
91,Source,V2606 Oph,CV,CV,265.667,-27.748,8.41E-11,Known Source,,23501
92,Source,NGC 5044,Galaxy,Brightest Galaxy in a Cluster,198.85,-16.385,7.31E-11,Known Source,,22373
93,Source,2E 4673,Pulsar,Magnetar,345.284,58.879,4.61E-11,Known Source,,21183
94,Source,PSR B0540-69,Pulsar,Pulsar,85.045,-69.332,5.21E-11,Known Source,,22908
95,Source,PSR B1509-58,Pulsar,Pulsar,228.481,-59.136,1.79E-09,Known Source,,22573
96,Source,PSR J0146+6145,Pulsar,Pulsar,26.593,61.751,1.78E-10,Known Source,,21227
97,Source,Vela Pulsar,Pulsar,Pulsar,128.836,-45.176,2.86E-10,Known Source,,22389
98,Source,Cas A,SNR,SNR,350.85,58.815,8.74E-10,Known Source,,80
99,Source,Crab,SNR,SNR,83.629,22.015,3.55E-09,Known Source,,4321
100,Source,Cyg Loop,SNR,SNR,311.881,30.174,8.06E-10,Known Source,,23582
101,Source,G296.1-0.5,SNR,SNR,177.792,-62.567,2E-11,Known Source,,23267
102,Source,G299.2-2.9,SNR,SNR,183.717,-65.467,6E-11,Known Source,,22479
103,Source,HB9,SNR,SNR,75.25,46.667,,Known Source,,25380
104,Source,IC 443,SNR,SNR,94.25,22.57,8.27E-10,Known Source,,21656
105,Source,Kepler SNR,SNR,SNR,262.65,-21.482,2.48E-10,Known Source,,20549
106,Source,Kes 73,SNR,SNR,280.333,-4.935,2E-11,Known Source,,24361
107,Source,Pup A,SNR,SNR,126.029,-42.997,2.94E-11,Known Source,,21811
108,Source,RCW 103,SNR,SNR,244.388,-51.033,1.98E-10,Known Source,,22665
109,Source,RCW 86,SNR,SNR,220.121,-62.645,3.65E-10,Known Source,,22494
110,Source,SNR B0505-67.9,SNR,SNR,76.425,-67.875,2.79E-11,Known Source,,24121
111,Source,SNR B0519-69.0,SNR,SNR,79.896,-69.033,7.81E-11,Known Source,,20769
112,Source,SNR B0535-66.0,SNR,SNR,83.93,-66.033,7.11E-11,Known Source,,1086
113,Source,SNR G034.6-00.5,SNR,SNR,284.044,1.223,3.1E-11,Known Source,,21205
114,Source,SNR G292.0+01.8,SNR,SNR,171.246,-59.318,1.81E-10,Known Source,,22392
115,Source,SNR G296.1-00.7/SNR G296.0-00.6,SNR,SNR,177.8,-62.767,8.68E-11,Known Source,,22586
116,Source,SNR J050854-684447,SNR,SNR,77.245,-68.729,1.94E-11,Known Source,,1089
117,Source,SNR J052501-693842,SNR,SNR,81.259,-69.644,4.83E-10,Known Source,,2141
118,Source,SNR J052559-660453/SNR B0525-66.0,SNR,SNR,81.502,-66.084,1.68E-11,Known Source,,1902
119,Source,Tycho SNR,SNR,SNR,6.34,64.141,5.03E-10,Known Source,,81
120,Source,gam Cas,Star,Be Star,14.177,60.717,1.04E-10,Known Source,,3861
121,Source,BD+43 3754,Star,BY Dra Variable,313.243,44.122,2.63E-12,Known Source,,24508
122,Source,BF Lyn,Star,BY Dra Variable,140.608,40.201,2.36E-11,Known Source,,21946
123,Source,BY Dra,Star,BY Dra Variable,278.482,51.719,3.5E-11,Known Source,,23179
124,Source,GS Leo,Star,BY Dra Variable,142.649,10.602,8.63E-12,Known Source,,22294
125,Source,HD 197481,Star,BY Dra Variable,311.29,-31.341,5.16E-11,Known Source,,24154
126,Source,HD 283750,Star,BY Dra Variable,69.201,27.132,3.11E-11,Known Source,,21411
127,Source,HD 29697,Star,BY Dra Variable,70.329,20.902,2.37E-11,Known Source,,4604
128,Source,HD 48189,Star,BY Dra Variable,99.501,-61.533,2.23E-11,Known Source,,21771
129,Source,MCC 124,Star,BY Dra Variable,153.58,21.075,6.53E-12,Known Source,,22071
130,Source,YY Gem,Star,BY Dra Variable,113.656,31.869,3.71E-11,Known Source,,26762
131,Source,71 Tau,Star,Delta Sct Variable,66.586,15.618,9.25E-12,Known Source,,26110
132,Source,BD+11 189,Star,Double or Multiple Star,22.544,12.056,3.06E-12,Known Source,,24845
133,Source,BD+19 5116,Star,Double or Multiple Star,352.967,19.937,1.95E-11,Known Source,,24189
134,Source,HD 235994,Star,Double or Multiple Star,343.748,51.526,1.19E-11,Known Source,,21182
135,Source,iot01 Nor,Star,Double or Multiple Star,240.884,-57.775,2.01E-11,Known Source,,24030
136,Source,RX J0052.5+1042,Star,Double or Multiple Star,13.139,10.712,1.23E-11,Known Source,,24844
137,Source,bet Per,Star,Eclipsing Binary,47.042,40.956,9.17E-11,Known Source,,21535
138,Source,i Boo,Star,Eclipsing Binary,225.947,47.654,4.34E-11,Known Source,,22454
139,Source,AO Men,Star,Eruptive Variable,94.618,-72.045,9.99E-12,Known Source,,25660
140,Source,AT Mic,Star,Eruptive Variable,310.463,-32.435,3.49E-11,Known Source,,23673
141,Source,BD+20 2465,Star,Eruptive Variable,154.901,19.87,4.28E-11,Known Source,,22076
142,Source,CD-56 1032B,Star,Eruptive Variable,73.377,-55.859,1.25E-11,Known Source,,22034
143,Source,G 124-43,Star,Eruptive Variable,216.984,-0.375,1.02E-12,Known Source,,23260
144,Source,HD 42270,Star,Eruptive Variable,88.372,-81.948,3.06E-11,Known Source,,22440
145,Source,UV Cet,Star,Eruptive Variable,24.757,-17.95,6.23E-12,Known Source,,21996
146,Source,YZ Cmi,Star,Eruptive Variable,116.167,3.552,1.26E-11,Known Source,,22354
147,Source,1RXS J041833.6-073637,Star,High Proper Motion Star,64.642,-7.614,2.8E-12,Known Source,,22088
148,Source,2MASS J19312434-2134226,Star,High Proper Motion Star,292.941,-21.676,,Known Source,transient by TA,23230
149,Source,beta Cet,Star,High Proper Motion Star,10.897,-17.987,2.72E-11,Known Source,,25018
150,Source,CD-50 7760,Star,High Proper Motion Star,201.443,-51.097,2.88E-12,Known Source,,23239
151,Source,HD 22403,Star,High Proper Motion Star,54.296,25.991,3.78E-11,Known Source,,21578
152,Source,HD 82533,Star,High Proper Motion Star,142.677,-53.522,9.81E-12,Known Source,,23238
153,Source,BD-17 6768,Star,Low-mass Star,353.195,-16.752,9.43E-12,Known Source,,24086
154,Source,L 34-26,Star,Low-mass Star,117.303,-76.702,7.17E-12,Known Source,,22224
155,Source,HD 283447,Star,Orion Variable,63.554,28.203,4.7E-12,Known Source,,22238
156,Source,1RXS J060415.2+124555,Star,Rotating Variable,91.063,12.765,8.25E-12,Known Source,,21491
157,Source,ASAS J054612+1803.6,Star,Rotating Variable,86.549,18.063,,Known Source,,21874
158,Source,FI Cnc,Star,Rotating Variable,128.072,29.319,1.97E-11,Known Source,,22279
159,Source,HD 199178,Star,Rotating Variable,313.474,44.386,2.86E-11,Known Source,,24475
160,Source,HD 87525,Star,Rotating Variable,150.969,-56.19,1.46E-11,Known Source,,22584
161,Source,YY Men,Star,Rotating Variable,74.575,-75.277,2.12E-11,Known Source,,22519
162,Source,SDSS J134448.52+404106.8,Star,RR Lyrae Variable,206.202,40.685,8.76E-09,Known Source,,22457
163,Source,12 Mus,Star,RS CVn Variable,174.873,-65.398,1.48E-09,Known Source,,22480
164,Source,39 Cet,Star,RS CVn Variable,19.151,-2.5,3.76E-11,Known Source,,21597
165,Source,AF Lep,Star,RS CVn Variable,81.77,-11.901,3.11E-11,Known Source,,21626
166,Source,AR Lac,Star,RS CVn Variable,332.17,45.742,6.31E-11,Known Source,,21289
167,Source,BH CVn,Star,RS CVn Variable,203.699,37.182,2.52E-11,Known Source,,22343
168,Source,BM CVn,Star,RS CVn Variable,200.384,38.88,1.84E-11,Known Source,,22963
169,Source,d UMa,Star,RS CVn Variable,143.62,69.83,1.63E-11,Known Source,,22095
170,Source,DH Leo,Star,RS CVn Variable,150.007,24.553,1.83E-11,Known Source,,22221
171,Source,DK Dra,Star,RS CVn Variable,183.923,72.551,1.84E-11,Known Source,,22401
172,Source,DM Uma,Star,RS CVn Variable,163.931,60.469,1.17E-11,Known Source,,22062
173,Source,EI Eri,Star,RS CVn Variable,62.42,-7.893,3.62E-11,Known Source,,22087
174,Source,FF UMa,Star,RS CVn Variable,143.444,62.828,2.37E-11,Known Source,,22061
175,Source,GSC 4367-00629,Star,RS CVn Variable,103.326,72.762,0.00000179,Known Source,,22330
176,Source,HD 112859,Star,RS CVn Variable,194.766,47.151,4.23E-12,Known Source,,22536
177,Source,HD 155555,Star,RS CVn Variable,259.356,-66.951,4.18E-11,Known Source,,23181
178,Source,HD 22468,Star,RS CVn Variable,54.197,0.588,1.7E-10,Known Source,,24934
179,Source,HD 41824,Star,RS CVn Variable,91.195,-48.458,2.87E-11,Known Source,,22046
180,Source,HK Lac,Star,RS CVn Variable,331.236,47.235,2.43E-11,Known Source,,21803
181,Source,II Peg,Star,RS CVn Variable,358.767,28.634,9.34E-11,Known Source,,21567
182,Source,IM Peg,Star,RS CVn Variable,343.259,16.841,2.05E-10,Known Source,,21595
183,Source,lam And,Star,RS CVn Variable,354.391,46.458,9.46E-11,Known Source,,21566
184,Source,RS CVn,Star,RS CVn Variable,197.654,35.935,1.17E-11,Known Source,,22558
185,Source,sig CrB,Star,RS CVn Variable,243.67,33.859,9.7E-11,Known Source,,22347
186,Source,sig Gem,Star,RS CVn Variable,115.828,28.884,8.11E-11,Known Source,,21573
187,Source,UX Ari,Star,RS CVn Variable,51.647,28.715,2.08E-10,Known Source,,21570
188,Source,V1198 Ori,Star,RS CVn Variable,74.571,0.454,1.18E-11,Known Source,,25724
189,Source,V1313 Tau,Star,RS CVn Variable,64.545,23.285,4.48E-12,Known Source,,26479
190,Source,V376 Cep,Star,RS CVn Variable,329.582,82.871,2.17E-11,Known Source,,21901
191,Source,V478 Lyr,Star,RS CVn Variable,286.885,30.254,1.98E-11,Known Source,,24481
192,Source,V841 Cen,Star,RS CVn Variable,218.567,-60.408,7.01E-12,Known Source,,22526
193,Source,V851 Cen,Star,RS CVn Variable,206.004,-61.366,1.27E-11,Known Source,,23820
194,Source,VV Mon,Star,RS CVn Variable,105.826,-5.738,1.89E-12,Known Source,,25725
195,Source,VY Ari,Star,RS CVn Variable,42.182,31.115,7.11E-11,Known Source,,21961
196,Source,zet And,Star,RS CVn Variable,11.835,24.267,2.15E-11,Known Source,,25053
197,Source,alf Aur,Star,Spectroscopic Binary,79.172,45.998,3.35E-10,Known Source,,6365
198,Source,FK Aqr,Star,Spectroscopic Binary,339.69,-20.621,3.35E-11,Known Source,,24021
199,Source,HD 152751,Star,Spectroscopic Binary,253.87,-8.336,3.44E-11,Known Source,,22917
200,Source,HD 205297,Star,Spectroscopic Binary,324.315,-65.039,1.55E-11,Known Source,,24041
201,Source,HD 80492,Star,Spectroscopic Binary,140.314,39.666,2.66E-12,Known Source,,22339
202,Source,ksi UMa B,Star,Spectroscopic Binary,169.545,31.529,4.31E-11,Known Source,,22283
203,Source,LP 476-207,Star,Spectroscopic Binary,75.495,9.983,5.34E-12,Known Source,,24612
204,Source,1RXS J054317.4-760222,Star,Star,85.822,-76.039,1.47E-12,Known Source,,23124
205,Source,HD 146797,Star,Star,244.893,-36.403,,Known Source,,23911
206,Source,HD 159911,Star,Star,264.444,-13.246,1.45E-11,Known Source,,23969
207,Source,HD 322168,Star,Star,252.969,-38.367,,Known Source,,23832
208,Source,tau Sco,Star,Star,248.971,-28.216,1.95E-10,Known Source,,24204
209,Source,2MASS J05242572+1922070,Star,T Tauri Star,81.107,19.369,1.28E-12,Known Source,,21515
210,Source,AB Dor,Star,T Tauri Star,82.187,-65.449,4.93E-11,Known Source,,1456
211,Source,HD 245358,Star,T Tauri Star,84.215,23.435,7.72E-12,Known Source,,21363
212,Source,MW Lup,Star,T Tauri Star,238.081,-38.325,,Known Source,,24172
213,Source,WR140,Star,Wolf-Rayet Satr,305.117,43.855,6E-11,Known Source,,24224
214,Source,HD 105070,Star,Young Stellar Object,181.448,-51.003,4.53E-12,Known Source,,23009
215,Source,WRAY 15-1674,Star,Young Stellar Object,259.925,-46.258,3.87E-12,Known Source,,22892
216,Source,M 42,Star Cluster,Open Cluster,83.821,-5.39,7.37E-11,Known Source,,21608
217,Source,Terzan 5,Star Cluster,Star Cluster,267.021,-24.78,3.29E-11,Known Source,,22553
218,Source,1RXS J052911.4+261009,Unclassified,Unclassified,82.297,26.169,8.12E-11,Known Source,,21939
219,Source,1RXS J054638.5-624322,Unclassified,Unclassified,86.66,-62.723,5.55E-08,Known Source,,22364
220,Source,NuSTAR J092418-3142.2,Unclassified,Unclassified,141.076,-31.705,7.44E-10,Known Source,LMXRB or CV,22377
221,Source,4U 0900-40,X-ray Binary,HMXB,135.529,-40.555,1.76E-09,Known Source,,21995
222,Source,4U 1210-64,X-ray Binary,HMXB,183.271,-64.917,1.07E-10,Known Source,,22561
223,Source,4U 1907+09,X-ray Binary,HMXB,287.405,9.832,2.32E-10,Known Source,,24037
224,Source,BP Cru,X-ray Binary,HMXB,186.657,-62.77,6.43E-10,Known Source,,22924
225,Source,Cir X-1,X-ray Binary,HMXB,230.17,-57.167,1.22E-10,Known Source,,22493
226,Source,Cyg X-1,X-ray Binary,HMXB,299.59,35.202,9.94E-08,Known Source,,323
227,Source,Cyg X-3,X-ray Binary,HMXB,308.107,40.958,1.01E-08,Known Source,,328
228,Source,EXO 2030+375,X-ray Binary,HMXB,308.064,37.637,9.19E-11,Known Source,,5188
229,Source,GRO J1008-571,X-ray Binary,HMXB,152.446,-58.293,1.16E-10,Known Source,,23902
230,Source,GRS 1915+105,X-ray Binary,HMXB,288.798,10.946,4.94E-09,Known Source,,24036
231,Source,H 1700-377,X-ray Binary,HMXB,255.987,-37.844,1.16E-09,Known Source,,22952
232,Source,HD 245770,X-ray Binary,HMXB,84.727,26.316,9.64E-11,Known Source,,21446
233,Source,IGR J06074+2205,X-ray Binary,HMXB,91.861,22.096,9.5E-12,Known Source,,26469
234,Source,LMC X-1,X-ray Binary,HMXB,84.912,-69.743,1.11E-09,Known Source,,2140
235,Source,LMC X-3,X-ray Binary,HMXB,84.736,-64.084,4.47E-10,Known Source,,1083
236,Source,LMC X-4,X-ray Binary,HMXB,83.206,-66.37,3.48E-09,Known Source,,1085
237,Source,LS V +44 17,X-ray Binary,HMXB,70.247,44.53,1.25E-10,Known Source,,22337
238,Source,QV Nor,X-ray Binary,HMXB,235.597,-52.386,2.72E-10,Known Source,,22533
239,Source,RX J0535.6-6651,X-ray Binary,HMXB,83.921,-66.865,8.04E-10,Known Source,,2922
240,Source,SMC X-1,X-ray Binary,HMXB,19.271,-73.443,9.92E-10,Known Source,,22515
241,Source,SS 433,X-ray Binary,HMXB,287.957,4.983,5.73E-12,Known Source,,23515
242,Source,V779 Cen,X-ray Binary,HMXB,170.313,-60.624,3.86E-09,Known Source,,22391
243,Source,X Per,X-ray Binary,HMXB,58.846,31.046,6.3E-11,Known Source,,21546
244,Source,[KRL2007b] 228,X-ray Binary,LMXB,258.144,-37.65,4.83E-10,Known Source,,23173
245,Source,[KRL2007b] 275,X-ray Binary,LMXB,266.761,-28.883,4.71E-10,Known Source,,23220
246,Source,1ES 1735-26.9,X-ray Binary,LMXB,264.571,-26.994,3.3E-10,Known Source,,22947
247,Source,1H 0512-401,X-ray Binary,LMXB,78.527,-40.044,2.08E-10,Known Source,,21679
248,Source,1RXS J173546.9-302859,X-ray Binary,LMXB,263.945,-30.483,5.42E-11,Known Source,,22589
249,Source,2E 3943,X-ray Binary,LMXB,266.522,-29.515,6.11E-10,Known Source,,6884
250,Source,2XMM J180112.4-254436,X-ray Binary,LMXB,270.302,-25.743,3.72E-10,Known Source,,22640
251,Source,4U 0919-54,X-ray Binary,LMXB,140.11,-55.207,2.31E-10,Known Source,,21810
252,Source,4U 1246-58,X-ray Binary,LMXB,192.414,-59.087,3.97E-10,Known Source,,22390
253,Source,4U 1624-49,X-ray Binary,LMXB,247.023,-49.211,2.04E-09,Known Source,,22567
254,Source,4U 1642-45,X-ray Binary,LMXB,251.449,-45.611,6.62E-10,Known Source,,22495
255,Source,4U 1701-407,X-ray Binary,LMXB,255.435,-40.858,2.35E-10,Known Source,,22940
256,Source,4U 1705-44,X-ray Binary,LMXB,257.227,-44.102,0.000000004,Known Source,,22557
257,Source,4U 1708-40,X-ray Binary,LMXB,258.099,-40.843,1.3E-09,Known Source,,22595
258,Source,4U 1722-30,X-ray Binary,LMXB,261.889,-30.802,3.68E-10,Known Source,,6890
259,Source,4U 1728-337,X-ray Binary,LMXB,262.991,-33.834,7.08E-10,Known Source,,6886
260,Source,4U 1730-22,X-ray Binary,LMXB,263.488,-22.035,2E-10,Known Source,,20729
261,Source,4U 1746-371,X-ray Binary,LMXB,267.553,-37.052,9.48E-10,Known Source,,20753
262,Source,4U 1812-12,X-ray Binary,LMXB,273.776,-12.096,4.12E-10,Known Source,,23191
263,Source,4U 1823-00,X-ray Binary,LMXB,276.342,-0.012,2.57E-10,Known Source,,7014
264,Source,4U 1850-086,X-ray Binary,LMXB,283.27,-8.705,2.96E-10,Known Source,,23163
265,Source,4U 2129+12,X-ray Binary,LMXB,322.493,12.167,4.52E-10,Known Source,,23235
266,Source,Aql X-1,X-ray Binary,LMXB,287.817,0.585,2.15E-11,Known Source,,23915
267,Source,Ara X-1,X-ray Binary,LMXB,256.564,-43.036,1.02E-09,Known Source,,22596
268,Source,AT 2019wey,X-ray Binary,LMXB,68.847,55.376,,Known Source,,21186
269,Source,AX J1747.4-3000,X-ray Binary,LMXB,266.858,-30.001,1.13E-10,Known Source,,21149
270,Source,Cyg X-2,X-ray Binary,LMXB,326.171,38.321,1.69E-08,Known Source,,77
271,Source,GR Mus,X-ray Binary,LMXB,194.405,-69.289,1.66E-09,Known Source,,22478
272,Source,Granat 1747-312,X-ray Binary,LMXB,267.695,-31.275,3.75E-10,Known Source,,14457
273,Source,GX 3+1,X-ray Binary,LMXB,266.983,-26.564,4.88E-09,Known Source,,6897
274,Source,GX 5-1,X-ray Binary,LMXB,270.291,-25.079,1.69E-08,Known Source,,20726
275,Source,H 1730-333,X-ray Binary,LMXB,263.353,-33.389,7.49E-11,Known Source,,23148
276,Source,HZ Her,X-ray Binary,LMXB,254.458,35.342,2.37E-10,Known Source,,22960
277,Source,IGR J17062-6143,X-ray Binary,LMXB,256.568,-61.711,1.29E-10,Known Source,,22570
278,Source,IGR J17498-2921,X-ray Binary,LMXB,267.481,-29.322,2.15E-11,Known Source,,23006
